pathogen_name,taxonid,ARG_name,aro_id,frequency,antibiotic_name
Staphylococcus aureus,1280,Tet(W),3000194,0.122228,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Staphylococcus aureus,1280,Cfr 23S ribosomal RNA methyltransferase,3000202,0.996834,"Lincosamide antibiotic,Oxazolidinone antibiotic,Phenicol antibiotic,Streptogramin antibiotic"
Staphylococcus aureus,1280,MecR1,3000215,0.536421,"CarbaPenem,Cephalosporin,Cephamycin,Monobactam,Penam"
Staphylococcus aureus,1280,AcrB,3000216,0.999375,"Cephalosporin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Penam,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,BlaR1,3000217,0.562813,Penam
Staphylococcus aureus,1280,ANT(6),3000225,0.051044,Aminoglycoside antibiotic
Staphylococcus aureus,1280,ANT(9),3000228,0.224804,Aminoglycoside antibiotic
Staphylococcus aureus,1280,ANT(3'')-Ia,3000232,4.1e-05,Aminoglycoside antibiotic
Staphylococcus aureus,1280,TolC,3000237,1.4e-05,"Aminocoumarin antibiotic,Aminoglycoside antibiotic,CarbaPenem,Cephalosporin,Cephamycin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Macrolide antibiotic,Penam,Penem,Peptide antibiotic,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,ErmC,3000250,0.156162,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,MsrA,3000251,0.137775,"Erythromycin,Quinupristin"
Staphylococcus aureus,1280,LsaA,3000300,2.7e-05,"Clindamycin,Dalfopristin,Pleuromutilin,Quinupristin"
Staphylococcus aureus,1280,MphC,3000319,0.132692,"Azithromycin,Clarithromycin,Dirithromycin,Erythromycin,Oleandomycin,Roxithromycin,Spiramycin,Telithromycin,Tylosin"
Staphylococcus aureus,1280,AAC(3),3000322,2.7e-05,Aminoglycoside antibiotic
Staphylococcus aureus,1280,ErmA,3000347,0.204351,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,ErmB,3000375,0.027329,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,NorA,3000391,0.998206,"Acriflavine,CiprOfloxacin,Norfloxacin"
Staphylococcus aureus,1280,Sul1,3000410,2.7e-05,"Mafenide,Sulfacetamide,Sulfadiazine,Sulfadimidine,Sulfadoxine,Sulfamethizole,Sulfamethoxazole,Sulfasalazine,Sulfisoxazole"
Staphylococcus aureus,1280,Sul2,3000412,2.7e-05,"Mafenide,Sulfacetamide,Sulfadiazine,Sulfadimidine,Sulfadoxine,Sulfamethizole,Sulfamethoxazole,Sulfasalazine,Sulfisoxazole"
Staphylococcus aureus,1280,AcrD,3000491,0.999375,Aminoglycoside antibiotic
Staphylococcus aureus,1280,AcrE,3000499,1.4e-05,"Cephalosporin,Cephamycin,Fluoroquinolone antibiotic,Penam"
Staphylococcus aureus,1280,AcrF,3000502,0.999375,"Cephalosporin,Cephamycin,Fluoroquinolone antibiotic,Penam"
Staphylococcus aureus,1280,CRP,3000518,1.4e-05,"Fluoroquinolone antibiotic,Macrolide antibiotic,Penam"
Staphylococcus aureus,1280,Staphylococcus aureus mupA conferring resistance to mupirocin,3000521,0.033445,Mupirocin
Staphylococcus aureus,1280,MacB,3000535,4.1e-05,Macrolide antibiotic
Staphylococcus aureus,1280,Erm 23S ribosomal RNA methyltransferase,3000560,0.383684,"Lincosamide antibiotic,Macrolide antibiotic,Streptogramin antibiotic"
Staphylococcus aureus,1280,Tet(38),3000565,0.998818,Tetracycline
Staphylococcus aureus,1280,VanR,3000574,0.000544,glycoPeptide antibiotic
Staphylococcus aureus,1280,ErmT,3000595,0.014759,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,ErmX,3000596,1.4e-05,"Azithromycin,Clarithromycin,Clindamycin,Dalfopristin,Dirithromycin,Erythromycin,Griseoviridin,Lincomycin,Madumycin II,Oleandomycin,Ostreogrycin B3,Patricin A,Patricin B,Pristinamycin IA,Pristinamycin IB,Pristinamycin IC,Quinupristin,Roxithromycin,Spiramycin,Telithromycin,Tylosin,Vernamycin C,Virginiamycin M1,Virginiamycin S2"
Staphylococcus aureus,1280,MecA,3000617,0.635668,Methicillin
Staphylococcus aureus,1280,PC1 beta-lactamase (blaZ),3000621,0.836581,Penam
Staphylococcus aureus,1280,MarR,3000718,0.999959,"Cephalosporin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Penam,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,Antibiotic sensitive dihydrofolate reductase,3000745,0.999402,"Brodimoprim,Iclaprim,Tetroxoprim,Trimethoprim"
Staphylococcus aureus,1280,MepR,3000746,0.998464,Tetracycline antibiotic
Staphylococcus aureus,1280,MexE,3000803,2.7e-05,"Diaminopyrimidine antibiotic,Fluoroquinolone antibiotic,Phenicol antibiotic"
Staphylococcus aureus,1280,MexH,3000807,5.4e-05,"Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,MexI,3000808,4.1e-05,"Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,MgrA,3000815,0.999171,"Cephalosporin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Penam,Peptide antibiotic,Tetracycline antibiotic"
Staphylococcus aureus,1280,CpxA,3000830,1.4e-05,"Aminocoumarin antibiotic,Aminoglycoside antibiotic"
Staphylococcus aureus,1280,ArlR,3000838,0.998981,"Disinfecting agents and antiseptics,Fluoroquinolone antibiotic"
Staphylococcus aureus,1280,ArlS,3000839,0.996725,"Disinfecting agents and antiseptics,Fluoroquinolone antibiotic"
Staphylococcus aureus,1280,Defensin resistant mprF,3000863,0.994401,Peptide antibiotic
Staphylococcus aureus,1280,TEM-1,3000873,6.8e-05,"Amoxicillin,Ampicillin,Cefalotin,Cefazolin"
Staphylococcus aureus,1280,TEM-116,3000979,0.000448,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,TEM-162,3001028,1.4e-05,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,TEM-171,3001037,4.1e-05,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,TEM-181,3001044,0.000109,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,MecC,3001209,0.003629,Methicillin
Staphylococcus aureus,1280,TEM-207,3001384,2.7e-05,"Cephalosporin,Monobactam,Penam,Penem"
Staphylococcus aureus,1280,OXA-2,3001397,1.4e-05,"Amoxicillin,Ampicillin,Ceftazidime,Meropenem"
Staphylococcus aureus,1280,OXA-72,3001705,1.4e-05,"CarbaPenem,Cephalosporin,Penam"
Staphylococcus aureus,1280,OXA-181,3001784,1.4e-05,"CarbaPenem,Cephalosporin,Penam"
Staphylococcus aureus,1280,KPC-2,3002312,1.4e-05,"CarbaPenem,Cephalosporin,Monobactam,Penam"
Staphylococcus aureus,1280,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,3002597,0.157453,"2'-N-ethylNetilmicin,5-epiSisomicin,Amikacin,Dibekacin,Gentamicin A,Kanamycin A,Netilmicin,Sisomicin,Tobramycin"
Staphylococcus aureus,1280,AadA,3002601,4.1e-05,"Spectinomycin,Streptomycin"
Staphylococcus aureus,1280,AadA24,3002621,4.1e-05,"Spectinomycin,Streptomycin"
Staphylococcus aureus,1280,ANT(6)-Ia,3002626,0.013101,Streptomycin
Staphylococcus aureus,1280,Aad(6),3002628,0.041014,Streptomycin
Staphylococcus aureus,1280,ANT(9)-Ia,3002630,0.212016,Spectinomycin
Staphylococcus aureus,1280,Spd,3002631,0.001413,Spectinomycin
Staphylococcus aureus,1280,APH(2'')-IIIa,3002636,4.1e-05,"Amikacin,Gentamicin A,Kanamycin A,Tobramycin"
Staphylococcus aureus,1280,APH(3'')-Ib,3002639,4.1e-05,Streptomycin
Staphylococcus aureus,1280,APH(3')-Ia,3002641,0.00019,"Gentamicin B,Kanamycin A,Neomycin,Paromomycin,Ribostamycin"
Staphylococcus aureus,1280,APH(3')-IIa,3002644,0.000245,"Butirosin,Gentamicin B,Kanamycin A,Neomycin,Paromomycin,Ribostamycin"
Staphylococcus aureus,1280,APH(3')-IIIa,3002647,0.183831,"Amikacin,Butirosin,Gentamicin B,Isepamicin,Kanamycin A,Neomycin,Paromomycin,Ribostamycin"
Staphylococcus aureus,1280,APH(6)-Id,3002660,2.7e-05,Streptomycin
Staphylococcus aureus,1280,Limosilactobacillus reuteri cat-TC,3002671,1.4e-05,"Azidamfenicol,Chloramphenicol,Thiamphenicol"
Staphylococcus aureus,1280,CatI,3002683,4.1e-05,"Azidamfenicol,Chloramphenicol,Thiamphenicol"
Staphylococcus aureus,1280,CmlA5,3002695,1.4e-05,Chloramphenicol
Staphylococcus aureus,1280,Cmx,3002703,1.4e-05,Chloramphenicol
Staphylococcus aureus,1280,FexA,3002704,0.021173,"Chloramphenicol,Florfenicol"
Staphylococcus aureus,1280,QnrD1,3002788,1.4e-05,CiprOfloxacin
Staphylococcus aureus,1280,MsrC,3002819,1.4e-05,"Erythromycin,Quinupristin"
Staphylococcus aureus,1280,VgaA,3002829,0.000571,"Clindamycin,Virginiamycin M1"
Staphylococcus aureus,1280,VgaALC,3002830,0.000666,"Clindamycin,Lincomycin,Virginiamycin M1"
Staphylococcus aureus,1280,VgaC,3002831,9.5e-05,"Clindamycin,Lincomycin,Tiamulin,Valnemulin,Virginiamycin M1"
Staphylococcus aureus,1280,VgaE,3002833,0.004485,"Clindamycin,Tiamulin,Virginiamycin M1"
Staphylococcus aureus,1280,LnuA,3002835,0.020154,"Lincomycin,Pirlimycin"
Staphylococcus aureus,1280,LnuB,3002836,0.017422,"Clindamycin,Lincomycin"
Staphylococcus aureus,1280,VatB,3002841,4.1e-05,Virginiamycin M1
Staphylococcus aureus,1280,DfrA14,3002859,2.7e-05,Trimethoprim
Staphylococcus aureus,1280,DfrA8,3002863,1.4e-05,Trimethoprim
Staphylococcus aureus,1280,DfrC,3002865,0.048842,Trimethoprim
Staphylococcus aureus,1280,DfrD,3002866,4.1e-05,Trimethoprim
Staphylococcus aureus,1280,DfrF,3002867,0.00034,Trimethoprim
Staphylococcus aureus,1280,DfrG,3002868,0.095904,Trimethoprim
Staphylococcus aureus,1280,DfrK,3002869,0.015914,Trimethoprim
Staphylococcus aureus,1280,SAT-4,3002897,0.173217,Streptothricin
Staphylococcus aureus,1280,VanR gene in vanA cluster,3002919,0.00053,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanS gene in vanA cluster,3002931,0.000516,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanH gene in vanA cluster,3002942,0.000544,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanX gene in vanA cluster,3002949,0.000557,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanY gene in vanA cluster,3002955,0.000544,glycoPeptide antibiotic
Staphylococcus aureus,1280,VanZ gene in vanA cluster,3002962,0.000544,glycoPeptide antibiotic
Staphylococcus aureus,1280,BacA,3002986,8.2e-05,"Bacitracin A,Bacitracin B,Bacitracin F"
Staphylococcus aureus,1280,DfrA16,3003014,2.7e-05,Trimethoprim
Staphylococcus aureus,1280,QacA,3003046,0.052973,Fluoroquinolone antibiotic
Staphylococcus aureus,1280,QacB,3003047,0.003846,Fluoroquinolone antibiotic
Staphylococcus aureus,1280,Staphylococcus aureus cls conferring resistance to daptomycin,3003074,2.7e-05,Daptomycin
Staphylococcus aureus,1280,LsaB,3003111,0.000177,"Clindamycin,Pleuromutilin"
Staphylococcus aureus,1280,LsaC,3003112,1.4e-05,"Clindamycin,Lincomycin,Pleuromutilin"
Staphylococcus aureus,1280,LsaE,3003206,0.01749,"Lincomycin,Pleuromutilin"
Staphylococcus aureus,1280,Staphylococcus aureus rpoB mutants conferring resistance to rifampicin,3003285,0.024571,"Rifabutin,Rifampin,Rifapentine,Rifaximin"
Staphylococcus aureus,1280,Staphylococcus aureus gyrA conferring resistance to fluoroquinolones,3003296,0.37924,"CiprOfloxacin,Enoxacin,Gatifloxacin,Grepafloxacin,LevOfloxacin,Lomefloxacin,Moxifloxacin,Nalidixic acid,Norfloxacin,Ofloxacin,Pefloxacin,Sparfloxacin,Trovafloxacin"
Staphylococcus aureus,1280,Staphylococcus aureus gyrB conferring resistance to aminocoumarin,3003301,2.7e-05,"Clorobiocin,Coumermycin A1,Novobiocin"
Staphylococcus aureus,1280,Staphylococcus aureus parC conferring resistance to fluoroquinolones,3003312,0.415321,"CiprOfloxacin,Enoxacin,Gatifloxacin,Grepafloxacin,LevOfloxacin,Lomefloxacin,Moxifloxacin,Nalidixic acid,Norfloxacin,Ofloxacin,Pefloxacin,Sparfloxacin,Trovafloxacin"
Staphylococcus aureus,1280,Staphylococcus aureus parE conferring resistance to fluoroquinolones,3003315,0.030441,"CiprOfloxacin,Enoxacin,Gatifloxacin,Grepafloxacin,LevOfloxacin,Lomefloxacin,Moxifloxacin,Nalidixic acid,Norfloxacin,Ofloxacin,Pefloxacin,Sparfloxacin,Trovafloxacin"
Staphylococcus aureus,1280,Staphylococcus aureus mprF with mutation conferring resistance to daptomycin,3003319,0.00265,Daptomycin
Staphylococcus aureus,1280,Staphylococcus aureus pgsA mutations conferring resistance to daptomycin,3003323,1.4e-05,Daptomycin
Staphylococcus aureus,1280,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,3003369,1.4e-05,Pulvomycin
Staphylococcus aureus,1280,CfrA,3003441,0.001264,"Azidamfenicol,Chloramphenicol,Clindamycin,Dalfopristin,Griseoviridin,Lincomycin,Madumycin II,Thiamphenicol,Tiamulin,Virginiamycin M1"
Staphylococcus aureus,1280,TetR,3003479,8.2e-05,Tetracycline antibiotic
Staphylococcus aureus,1280,EmeA,3003551,1.4e-05,Acriflavine
Staphylococcus aureus,1280,FusB,3003552,0.008575,Fusidic acid
Staphylococcus aureus,1280,Staphylococcus aureus ileS with mutation conferring resistance to mupirocin,3003729,0.022532,Mupirocin
Staphylococcus aureus,1280,FusC,3003733,0.033078,Fusidic acid
Staphylococcus aureus,1280,Staphylococcus aureus fusA with mutation conferring resistance to fusidic acid,3003735,0.018455,Fusidic acid
Staphylococcus aureus,1280,OptrA,3003746,0.000163,"Chloramphenicol,Florfenicol,Linezolid,Tedizolid"
Staphylococcus aureus,1280,LnuE,3003762,1.4e-05,Lincomycin
Staphylococcus aureus,1280,Staphylococcus aureus murA with mutation conferring resistance to fosfomycin,3003776,0.466582,Fosfomycin
Staphylococcus aureus,1280,Staphylococcus aureus walK with mutation conferring resistance to daptomycin,3003794,8.2e-05,Daptomycin
Staphylococcus aureus,1280,Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin,3003901,0.291245,Fosfomycin
Staphylococcus aureus,1280,Staphylococcus aureus UhpT with mutation conferring resistance to fosfomycin,3003902,0.000435,Fosfomycin
Staphylococcus aureus,1280,ANT(4')-Ib,3003905,0.160905,"Amikacin,Dibekacin,Isepamicin,Tobramycin"
Staphylococcus aureus,1280,Erm(47),3003908,1.4e-05,"Azithromycin,Clindamycin,Erythromycin,Lincomycin,Quinupristin,Spiramycin"
Staphylococcus aureus,1280,ApmA,3003918,0.001644,Apramycin
Staphylococcus aureus,1280,YojI,3003952,1.4e-05,Microcin J25
Staphylococcus aureus,1280,EfmA,3003954,1.4e-05,Erythromycin
Staphylococcus aureus,1280,KdpD,3004047,0.999198,Aminoglycoside antibiotic
Staphylococcus aureus,1280,LnuG,3004085,0.002378,Lincomycin
Staphylococcus aureus,1280,ANT(3'')-IIa,3004089,1.4e-05,"Spectinomycin,Streptomycin"
Staphylococcus aureus,1280,Escherichia coli ampC beta-lactamase,3004290,1.4e-05,Penicillin
Staphylococcus aureus,1280,Streptococcus suis chloramphenicol acetyltransferase,3004455,0.001563,Chloramphenicol
Staphylococcus aureus,1280,Enterococcus faecium chloramphenicol acetyltransferase,3004456,0.006428,Chloramphenicol
Staphylococcus aureus,1280,Staphylococcus intermedius chloramphenicol acetyltransferase,3004457,0.005939,Chloramphenicol
Staphylococcus aureus,1280,Enterococcus faecalis chloramphenicol acetyltransferase,3004458,0.004797,Chloramphenicol
Staphylococcus aureus,1280,PoxtA,3004470,2.7e-05,"Chloramphenicol,Doxycycline,Florfenicol,Linezolid,Tetracycline"
Staphylococcus aureus,1280,Staphylococcus aureus LmrS,3004572,0.998954,"Chloramphenicol,Erythromycin,Florfenicol,Kanamycin A,Linezolid,Streptomycin,Trimethoprim"
Staphylococcus aureus,1280,Acinetobacter baumannii AmvA,3004577,2.7e-05,"Acriflavine,Erythromycin"
Staphylococcus aureus,1280,ClcD,3004599,2.7e-05,"Clindamycin,Florfenicol,Linezolid,Quinupristin-Dalfopristin,Tiamulin"
Staphylococcus aureus,1280,AAC(3)-IIe,3004621,2.7e-05,"2'-N-ethylNetilmicin,6'-N-ethylNetilmicin,Dibekacin,Netilmicin,Sisomicin,Tobramycin"
Staphylococcus aureus,1280,Tet(U),3004650,0.000381,Tetracycline
Staphylococcus aureus,1280,CatA8,3004658,0.000883,Chloramphenicol
Staphylococcus aureus,1280,Staphylococcus aureus FosB,3004661,0.572285,Fosfomycin
Staphylococcus aureus,1280,Staphylococcus aureus norA,3004667,0.9986,"CiprOfloxacin,Enoxacin,Norfloxacin,Ofloxacin"
Staphylococcus aureus,1280,FosB1,3004670,0.000258,Fosfomycin
Staphylococcus aureus,1280,FosB4,3004671,0.001332,Fosfomycin
Staphylococcus aureus,1280,FosB5,3004672,5.4e-05,Fosfomycin
Staphylococcus aureus,1280,FosB6,3004673,0.000557,Fosfomycin
Staphylococcus aureus,1280,FosD,3004674,0.003262,Fosfomycin
Staphylococcus aureus,1280,AadA27,3004682,1.4e-05,"Spectinomycin,Streptomycin"
Staphylococcus aureus,1280,Vga(E) Staphylococcus cohnii,3004715,0.000109,"Clindamycin,Lincomycin,Retapamulin,Tiamulin,Valnemulin,Virginiamycin M1"
Staphylococcus aureus,1280,QacEdelta1,3005010,5.4e-05,Disinfecting agents and antiseptics
Staphylococcus aureus,1280,BLMT,3005036,2.7e-05,glycoPeptide antibiotic
Staphylococcus aureus,1280,MecC-type methicillin resistance repressor MecI,3005046,0.003629,Methicillin
Staphylococcus aureus,1280,MsrF,3005087,5.4e-05,Erythromycin
Staphylococcus aureus,1280,Mef(D),3005089,5.4e-05,Macrolide antibiotic
Staphylococcus aureus,1280,MecC-type BlaZ,3005097,0.003629,Penicillin
Staphylococcus aureus,1280,QacL,3005098,1.4e-05,Disinfecting agents and antiseptics
Staphylococcus aureus,1280,OXA-919,3006105,8.2e-05,"CarbaPenem,Cephalosporin,Penam"
Staphylococcus aureus,1280,ADC-103,3006283,1.4e-05,Cephalosporin
Staphylococcus aureus,1280,EC-5,3006880,1.4e-05,Cephalosporin
Staphylococcus aureus,1280,NorC,3007010,0.998709,"Disinfecting agents and antiseptics,Fluoroquinolone antibiotic"
Staphylococcus aureus,1280,SepA,3007012,0.997037,Disinfecting agents and antiseptics
Staphylococcus aureus,1280,SdrM,3007013,0.702734,Norfloxacin
Staphylococcus aureus,1280,QacJ,3007014,0.00231,Benzalkonium chloride
Staphylococcus aureus,1280,QacG,3007015,0.004335,Benzalkonium chloride
Staphylococcus aureus,1280,FexB,3007019,0.000299,Florfenicol
Staphylococcus aureus,1280,MefH,3007047,2.7e-05,Macrolide antibiotic
Staphylococcus aureus,1280,FosY,3007069,0.003819,Fosfomycin
Enterococcus faecium,1352,Tetracycline-resistant ribosomal protection protein,2,0.528782,Tetracycline antibiotic
Enterococcus faecium,1352,VanW,3000002,0.150761,glycoPeptide antibiotic
Enterococcus faecium,1352,VanD,3000005,0.001269,glycoPeptide antibiotic
Enterococcus faecium,1352,VanH,3000006,0.795685,glycoPeptide antibiotic
Enterococcus faecium,1352,VanA,3000010,0.603604,glycoPeptide antibiotic
Enterococcus faecium,1352,VanX,3000011,0.753553,glycoPeptide antibiotic
Enterococcus faecium,1352,VanB,3000013,0.196294,glycoPeptide antibiotic
Enterococcus faecium,1352,TEM beta-lactamase,3000014,0.000508,Ampicillin
Enterococcus faecium,1352,OXA beta-lactamase,3000017,0.000914,"Cefalotin,ClOxacillin,Oxacillin"
Enterococcus faecium,1352,VanS,3000071,0.998934,glycoPeptide antibiotic
Enterococcus faecium,1352,EmrB,3000074,1.0,Fluoroquinolone antibiotic
Enterococcus faecium,1352,VanY,3000077,0.716497,glycoPeptide antibiotic
Enterococcus faecium,1352,Bla1,3000090,0.000254,Penam
Enterococcus faecium,1352,VanZ,3000116,0.462386,glycoPeptide antibiotic
Enterococcus faecium,1352,Chloramphenicol acetyltransferase (CAT),3000122,0.100812,Phenicol antibiotic
Enterococcus faecium,1352,APH(3'),3000126,0.730203,Aminoglycoside antibiotic
Enterococcus faecium,1352,Tet(A),3000165,5.1e-05,Tetracycline
Enterococcus faecium,1352,Tet(L),3000179,0.003756,Tetracycline
Enterococcus faecium,1352,TetA(P),3000180,5.1e-05,Tetracycline
Enterococcus faecium,1352,Tet(M),3000186,0.704822,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Enterococcus faecium,1352,Tet(O),3000190,0.668173,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Enterococcus faecium,1352,Tet(Q),3000191,5.1e-05,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Enterococcus faecium,1352,Tet(S),3000192,0.668223,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Enterococcus faecium,1352,Tet(W),3000194,0.668173,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Enterococcus faecium,1352,TetB(P),3000195,0.000102,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Enterococcus faecium,1352,Tet(32),3000196,5.1e-05,"Chlortetracycline,Demeclocycline,Doxycycline,Minocycline,Oxytetracycline,Tetracycline"
Enterococcus faecium,1352,Cfr 23S ribosomal RNA methyltransferase,3000202,0.000203,"Lincosamide antibiotic,Oxazolidinone antibiotic,Phenicol antibiotic,Streptogramin antibiotic"
Enterococcus faecium,1352,EmrK,3000206,5.1e-05,Tetracycline antibiotic
Enterococcus faecium,1352,AcrB,3000216,0.000305,"Cephalosporin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Penam,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic"
Enterococcus faecium,1352,BlaR1,3000217,0.000102,Penam
Enterococcus faecium,1352,ANT(6),3000225,0.476599,Aminoglycoside antibiotic
Enterococcus faecium,1352,ANT(9),3000228,0.140964,Aminoglycoside antibiotic
Enterococcus faecium,1352,ANT(3'')-Ia,3000232,5.1e-05,Aminoglycoside antibiotic
Enterococcus faecium,1352,TolC,3000237,5.1e-05,"Aminocoumarin antibiotic,Aminoglycoside antibiotic,CarbaPenem,Cephalosporin,Cephamycin,Disinfecting agents and antiseptics,Fluoroquinolone antibiotic,Macrolide antibiotic,Penam,Penem,Peptide antibiotic,Phenicol antibiotic,Rifamycin antibiotic,Tetracycline antibiotic"
Enterococcus faecium,1352,Chloramphenicol phosphotransferase,3000249,0.970711,Phenicol antibiotic
